wavelength_nm,x_bar,y_bar,z_bar,x_chromaticity,y_chromaticity
411,0.10446522001882054,0.00941045778436543,0.47597353034420603,0.1771049593283792,0.01595400596352744
412,0.11594252947030793,0.010387065877304893,0.5297319585154968,0.17672507829120543,0.015832456293380367
413,0.12800569702197379,0.01142122400778416,0.5865034568592091,0.17633329713273493,0.015733222297429555
414,0.1405952526477303,0.012512820034645268,0.6460339264809634,0.17593275387218588,0.015657818069561548
415,0.15364468133158893,0.013662003521088043,0.7080296378511374,0.175526454628317,0.015607719189451282
416,0.16707636190733371,0.014868682648663414,0.7721426278175983,0.17511636167741096,0.015584189041739584
417,0.1807807084108845,0.016130167932099305,0.8378890437861688,0.17470112327446005,0.015587716638097642
418,0.19463084061899916,0.017442672084843597,0.9047067449655636,0.17427854699470746,0.015618714572591454
419,0.20849060408509967,0.018801989904831194,0.9719885110203538,0.1738463177766081,0.015677717114262343
420,0.2222176891827905,0.020203604468611424,1.039095715524406,0.17340205989595653,0.01576538143774239
421,0.23568327067665784,0.021643686767758605,1.1054465086304233,0.17294383589334925,0.01588208701340388
422,0.2488315721397974,0.023122341422651998,1.1707807757860635,0.17247216274543228,0.0160267453145479
423,0.2616440438943183,0.024641743825775022,1.2350038478364207,0.17198831687208885,0.016197930525412834
424,0.27412410012910343,0.026205404384927012,1.298119418634742,0.17149381263250404,0.01639427072421256
425,0.28629617536615226,0.027818214849481247,1.3602256428781798,0.17099046173861093,0.016614435717743237
426,0.2981818992775478,0.02948555943083079,1.4214087172392675,0.17047965284644817,0.016857790321714018
427,0.30972366292585524,0.031210171400163873,1.4813961726625662,0.16996024964637224,0.017126520048769283
428,0.32083829420314786,0.032994095541484136,1.5397994278649445,0.16943013484435301,0.017423712062006956
429,0.3314361335872209,0.03483934099565265,1.5962004985449703,0.1688867217359964,0.01775274779039706
430,0.34141989684910773,0.03674768621312424,1.6501462834071583,0.16832695496156347,0.0181173568946159
431,0.35070625766830127,0.03872032883873334,1.7012455099785404,0.1677480931887116,0.018520517351249058
432,0.35929786150411935,0.04075725552701862,1.749485233271565,0.16715101973011218,0.01896091670076307
433,0.36722599523884114,0.042857534893177826,1.794974977475467,0.16653798253964952,0.019436008044829044
