wavelength_nm,V_P,K_P_lm_per_W
539,0.9524346425565762,650.5147748600396
540,0.9588257852814723,654.8799381846582
541,0.9647055103621112,658.8958022305142
542,0.9700639837733531,662.555650338675
543,0.9749000433945985,665.8586887784359
544,0.9792101652610261,668.8025106747419
545,0.9829884760092625,671.3831045086063
546,0.9862406955622252,673.6043769988761
547,0.9890250847939072,675.5061204395687
548,0.9914110514401299,677.1357404537304
549,0.9934627909428374,678.5370826572149
550,0.9952332032721811,679.7462778359424
551,0.996767791383049,680.7944045995432
552,0.9980922684007532,681.6990250642781
553,0.9991275534077371,682.4061268045364
554,0.9997904426253161,682.8588814722721
555,0.9999978919139378,683.0005697532866
556,0.9996902139917264,682.7904251141127
557,0.998899324236925,682.2502458222269
558,0.9976805048193598,681.4177897107144
559,0.9960892585865181,680.3309653359464
560,0.9941809941497771,679.0276168908417
561,0.9919965625914542,677.5356457467166
562,0.9895195795214665,675.8438613322186
563,0.986720199112053,673.9318788870094
564,0.9835695384145329,671.7799712990975
565,0.9800397305478378,669.3691054327123
566,0.9761102627534991,666.6852710325979
567,0.9717862810646061,663.7319828496956
568,0.9670792172098657,660.5170487776851
569,0.9620004044150267,657.0482094325279
570,0.9565609218850011,653.3330319334434
571,0.9507651918161053,649.3745366494027
572,0.9445923322431434,645.1584611562126
573,0.938016182726582,640.6669378211006
574,0.9310120032759788,635.8830691808776
575,0.9235567577238393,630.7911214868517
576,0.9156495484610252,625.3904816701777
577,0.9073706743097828,619.7359939878168
578,0.8988171091480116,613.8938917932509
579,0.890081476078438,607.927436851776
580,0.8812521723230777,601.89700464367
581,0.8723875807631438,595.8424707941265
582,0.8634396342007146,589.7310053103702
583,0.8543360987545212,583.5132723063346
584,0.8450070996075865,577.1415471416052
585,0.8353850007070783,570.5696342561778
586,0.8254182687610875,563.7623363081178
587,0.8151117077886322,556.7229344520689
588,0.8044846384519315,549.4646247391531
589,0.7935571447492574,542.0011245805506
590,0.7823499916107883,534.346616465302
591,0.7708830711284526,526.5146867321691
592,0.759170886301689,518.5152409589138
593,0.7472267254394238,510.35735508723616
594,0.735063969539984,502.050168365884
595,0.722696217630825,493.60296895793783
596,0.7101380356756666,485.0257054458895
597,0.6974073094371083,476.3305938415375
598,0.684523196117054,467.5307185522801
599,0.6715051701265513,458.63938063999814
600,0.658373025777251,449.6700996593274
601,0.6451437260131019,440.6344613350733
602,0.6318221673718175,431.5358100123342
603,0.6184109838569651,422.3759447208398
604,0.6049135325636094,413.1571583632655
605,0.5913340633849888,403.8823536252339
606,0.5776808753783568,394.5571987795265
607,0.5639760439585075,385.19677137881024
608,0.5502443697614327,375.81801030730605
609,0.5365098577561178,366.43731100707123
610,0.5227956063924989,357.0704497658301
611,0.5091220239768368,347.731365497771
612,0.4955019250250462,338.4288105430154
613,0.48194620414812417,329.170225942768
614,0.4684655616739305,319.96292004246015
615,0.455070524502307,310.81408273583844
616,0.44177375652039447,301.7323634832691
617,0.42859692428522217,292.73256058674394
618,0.41556238488598557,283.82994398311166
619,0.40269059229450777,275.0384837762315
620,0.3900001558798426,266.3708902025641
621,0.37750163755971855,257.8343770731431
622,0.36518004582146163,249.4187051546856
623,0.3530163619983408,241.11088465959463
624,0.34099403767183706,232.8996129847664
625,0.3290992084129375,224.77542069732343
626,0.3173276793805226,216.73544271235116
627,0.30570399872438797,208.7964454654915
628,0.29425720800140914,200.9782643984518
629,0.28301328982041524,193.29864568527645
630,0.27199528016526364,185.77332294923272
631,0.26122125220335873,178.4146401999773
632,0.2506990902099396,171.22798241334252
633,0.24043375241635245,164.21673607130188
634,0.23042949556469158,157.38380853725997
635,0.2206899702844209,150.73169319847693
636,0.21121823066576095,144.2624760047108
637,0.20201701744569367,137.978028884828
638,0.19308857894570217,131.87988744691967
639,0.18443460044569177,125.96920274054781
640,0.17605623134412066,120.24675980716923
641,0.16795172920093546,114.71136855672586
642,0.16011013936573193,109.35554694097736
643,0.15251953051497127,104.1711458419698
644,0.14516934564011957,99.15095480165934
645,0.138050422144785,94.28871574829738
646,0.13115719065230746,89.58062478643299
647,0.12449404512285507,85.02968299969099
648,0.11806647822520959,80.6396418918873
649,0.11187844558538045,76.41320316353547
650,0.1059323764804082,72.35202601573607
651,0.1002289983662168,68.45660730234704
652,0.0947668051766439,64.7259183771529
653,0.0895429810524987,61.15803600266764
654,0.08455379677067884,57.75041311201822
655,0.07979472748821306,54.4999592283622
656,0.07526021889924633,51.40288074963878
657,0.0709430559002198,48.454249745617936
658,0.06683557859452235,45.648834491521086
659,0.06293006879158344,42.981363447678234
660,0.059218806757954094,40.446564020630305
661,0.05569749851343253,38.041503413270384
662,0.05233582059388427,35.74547063865719
663,0.049151472482085776,33.57055447909557
664,0.04613746620071487,31.511982132031587
665,0.04328687570351463,29.565023093953307
666,0.04059280315985142,27.72496613267621
667,0.0380482552127844,25.987034771356
668,0.03564638044836945,24.346549480500375
669,0.033380532876988465,22.79897103584451
670,0.03124427316363462,21.33990135863839
671,0.0292313774960468,19.965089572600423
672,0.027335851868337986,18.67044175966434
