wavelength_nm,L,M,S
572,0.9879906764790017,0.7532778643021985,0.0001340320234449363
573,0.9861178345631865,0.7382904665237129,0.00012183968104340446
574,0.9838086605189634,0.7229396118775524,0.00011078635577040328
575,0.9810318578691025,0.7072209485253218,0.00010076449183556686
576,0.9777783794542422,0.6911495435892672,0.00009167661167921052
577,0.9741249122954504,0.6748036440347361,0.00008343434600905169
578,0.9701671670658601,0.6582717142608409,0.00007595767377017059
579,0.9659977819114555,0.6416358718635646,0.00006917414521548101
580,0.9617065292096367,0.6249718390543696,0.00006301818952243583
581,0.9573496897372084,0.6083354870365236,0.000057430462486878605
582,0.9528579286372547,0.5917255830759052,0.00005235725575253643
583,0.9481323965363195,0.5751298707784197,0.00004774999184880162
584,0.9430758439993407,0.5585396636385553,0.000043564717116408375
585,0.9375924832952713,0.5419497732551194,0.0000397616854245561
586,0.9316074148613568,0.5253599778113921,0.00003630494726935419
587,0.9251220490910262,0.5087811436999522,0.000033161987666739934
588,0.9181570980305798,0.4922276979536235,0.000030303388874366445
589,0.9107337581667942,0.4757152874773227,0.0000277025672891056
590,0.902873568306125,0.45926082220356446,0.000025335467073214117
591,0.8945946513726061,0.442885388018666,0.00002318033786493406
592,0.8859008461617185,0.4266226055593407,0.000021217501112178886
593,0.8767934730033039,0.41050755597591604,0.000019429153971815264
594,0.867274898282325,0.3945735468855133,0.000017799191737818284
595,0.8573489542275228,0.37885165038639906,0.000016313040972548197
596,0.8470226702623078,0.3633694549196011,0.000014957511260559648
597,0.8363122629977758,0.34814607228669475,0.000013720657963066101
598,0.8252368541417818,0.3331985619855263,0.000012591665086868973
599,0.8138164856501515,0.3185430910218506,0.000011560736783935746
600,0.8020721194529423,0.304194942068171,0.000010618997170812975
601,0.7900203680316407,0.29016984163817805,0.000009758403779455672
602,0.7776589354702305,0.2764861326475514,0.000008971661352279665
603,0.7649826747908945,0.2631612969607207,0.000008252155031888414
604,0.75198875902472,0.2502103493269696,0.000007593884230669994
605,0.7386767263694257,0.23764623032843982,0.000006991402214678871
606,0.7250533792367522,0.22547921358968517,0.000006439765480897591
607,0.7111470127553591,0.21371677090989374,0.000005934481403540354
608,0.6969909558618228,0.20236429737635184,0.0000054714689124271874
609,0.6826184629953627,0.19142507863783748,0.000005047020247847602
610,0.6680622107527915,0.1809009565833846,0.0000046577629750038554
611,0.6533521097608489,0.17079153482671125,0.000004300631016773156
612,0.6385085846745209,0.16109336525006634,0.000003972834449749741
613,0.6235500171484994,0.15180153659023085,0.000003671834603897494
614,0.6084949259456304,0.14291032021793487,0.000003395320522641471
615,0.5933620991667736,0.13441297184173967,0.0000031411873070211385
616,0.578173667412262,0.12630229590624528,0.0000021178910278774845
617,0.5629650002375339,0.1185708352855684,0.0000019612517801944095
618,0.547772799708883,0.11121049566274815,0.000001817072717014029
619,0.532631396337401,0.10421240667774766,0.0000016842970223808128
620,0.5175727797568673,0.09756702800823601,0.0000015619608413926855
621,0.5026173045712153,0.09126466536391883,0.000001449184966642969
622,0.4877476997158005,0.08529646003935923,0.0000013451672942014583
623,0.4729409999364878,0.07965322657652868,0.0000012491759718758787
624,0.4581782309409708,0.07432501027680957,0.0000011605431786918898
625,0.4434445722613058,0.06930137580304942,0.000001078659462696208
626,0.4287397891211668,0.06457089445757418,0.000001002968589656181
627,0.41410656422238445,0.06012003870467347,0.0000009329628563881013
628,0.39959417729447455,0.0559351714594916,0.0000008681788095863679
629,0.3852472327131334,0.052003089029423584,0.0000008081933510679438
630,0.37110579141444533,0.04831108259838568,0.0000007526201767575292
631,0.3572023083497917,0.04484718681963489,0.0000007011065267746952
632,0.34355362059790384,0.041600967460429676,0.0000006533302158954686
633,0.33017212555741626,0.03856234150986727,0.000000608996918786093
634,0.31706914498745903,0.03572133209878345,0.0000005678376903035748
635,0.3042550266400219,0.03306814091182491,0.0000005296066916094439
636,0.29173942453292523,0.030592629757736467,0.0000004940791152702846
637,0.2795322178366426,0.028283334325358955,0.0000004610492861984282
638,0.26764236255180934,0.026129192052134848,0.00000043032892533761096
639,0.2560775827347112,0.024119943045308692,0.00000040174555946377615
640,0.24484440190466378,0.022246145902759827,0.0000003751410739248417
641,0.23394426567012916,0.020500049686520836,0.00000035037038973969954
642,0.22336310635138035,0.01887799833484885,0.00000032730025428657247
643,0.2130853482922384,0.017376503769296715,0.0000003058081490000126
644,0.20309784789310953,0.015991237875340358,0.00000028578128584232287
645,0.1933897421734661,0.014717384220870107,0.00000026711570553257303
646,0.18395620045450545,0.013548565473840812,0.0000002497154600287621
647,0.1748088637489445,0.012474572128465504,0.00000023349187073058846
648,0.16596087948694646,0.011485375506487613,0.00000021836286411306325
649,0.15742251742674632,0.010572193287817085,0.0000002042523745918904
650,0.1492012997174366,0.009727266641511224,0.00000019108980612589907
651,0.14130152858314268,0.008944282410684602,0.00000017880955988333947
652,0.13372294534403315,0.00821947682037162,0.00000016735060617070123
653,0.12646313046660299,0.007549581048687466,0.0000001566561062514338
654,0.11951830468670833,0.006931385075428467,0.00000014667308291646494
655,0.11288350108752625,0.006361736346878997,0.00000013735212577578813
656,0.10655224997939819,0.005837490588857939,0.00000012864713041295789
657,0.10051570021374322,0.005355433352115223,0.00000012051507961037145
658,0.09476429781158303,0.004912457976170877,0.00000011291583872422783
659,0.08928830419249549,0.004505651959155649,0.00000010581198846911214
660,0.08407788981620437,0.004132275482146899,0.00000009916867372601016
661,0.0791280126178255,0.003789976396340928,0.00000009296063891916939
662,0.07439635014394698,0.0034752171921601472,0.00000008710828395230882
663,0.069909005444605,0.0031873377814738988,0.00000008163734653967492
664,0.0656568339521672,0.002924338400171439,0.00000007652207790525776
665,0.06163073722326352,0.002684304978584115,0.0000000717385468937512
666,0.057821639127508706,0.0024653599608745426,0.00000006726450309673668
667,0.05422039963589006,0.0022654795057991135,0.00000006307925545037062
668,0.050818014731178036,0.002082777205697325,0.00000005916355262440286
669,0.04760567424498006,0.001915571374360576,0.00000005549947738810481
670,0.04457477894546272,0.0017623552714558276,0.000000052070350773250695
671,0.04171694482153102,0.001621813890350115,0.00000004886064063509796
672,0.03902399950926051,0.0014928713854423263,0.00000004585587677602605
673,0.03648801017496889,0.0013745677391689092,0.00000004304257914929401
674,0.034101292139663154,0.0012660229762617144,0.00000004040818025758918
675,0.031856412020011195,0.0011664215964694005,0.000000037940967460630686
676,0.02974624603063407,0.001075015616346537,0.00000003563001681469331
677,0.027764119617431082,0.0009911093257086267,0.000000033465140038920086
678,0.02590359452143137,0.0009140634327216684,0.00000003143683258314295
679,0.024158418792156505,0.0008432958189752864,0.00000002953622416340977
680,0.022522535552033696,0.0007782729941034275,0.000000027755038585134997
681,0.020989940928097,0.0007185010278313728,0.000000026085548810078707
682,0.019554341575092657,0.000663514178254299,0.000000024520540858075697
683,0.018209707416564844,0.0006128824968948788,0.000000023053278259087825
684,0.01695041632255281,0.0005662222093214171,0.000000021677469804298196
685,0.015771222527730524,0.0005231866302565549,0.000000020387239998220512
686,0.014667570970710858,0.00048347818992211755,0.000000019177098089669222
687,0.013636404192791099,0.00044688567516026645,0.00000001804191403442153
688,0.012674801714921823,0.00041321625641670096,0.000000016976896459352013
689,0.011779650451017016,0.00038228102998232743,0.000000015977564125747953
690,0.010947713867836023,0.000353892458997077,0.000000015039731598806168
691,0.01017540134536453,0.00032786108163824996,0.000000014159483327755235
692,0.00945811031135379,0.00030396019695645037,0.000000013333161705621402
693,0.008791384169077076,0.0002819788203021874,0.00000001255734596146425
694,0.008171195584502496,0.0002617284677367195,0.00000001182883662153269
695,0.007593895704342102,0.00024304394429152445,0.000000011144643096659852
696,0.007056273227893356,0.0002257783488886173,0.000000010501968017434617
697,0.00655575477899567,0.0002098113091218865,0.000000009898194353658456
698,0.006090001446482245,0.00019503444723092882,0.000000009330874977649607
699,0.005656792052588167,0.00018135010638147374,0.000000008797720555625634
700,0.005254021671735117,0.00016866964102624004,0.00000000829659003291759
701,0.004879657465703551,0.00015691125866783737,0.000000007825478597881287
702,0.00453163268385826,0.0001459989760943868,0.000000007382511893499971
703,0.004208003951162932,0.00013586421398002435,0.000000006965935858482318
704,0.003906984756517379,0.0001264443868931213,0.000000006574108154293875
705,0.0036269318842788545,0.00011768313446084096,0.000000006205492566891299
706,0.0033663712231080246,0.000109531232044616,0.000000005858649898339395
707,0.003124077869407489,0.00010195022317487504,0.00000000553223590944607
708,0.00289891969414219,0.00009490566534122225,0.000000005224988368159579
709,0.002689813094494734,0.00008836375923575999,0.000000004935729095290137
710,0.0024957246267033038,0.00008229251677564993,0.0000000046633535024241085
711,0.002315668727371894,0.00007666071158457135,0.0000000044068257923865635
712,0.002148702755856665,0.00007143551298816038,0.00000000416517886871556
713,0.0019939348719123636,0.00006658669610859476,0.000000003937504557419071
714,0.0018505235939367587,0.00006208547263561948,0.000000003722953906165048
715,0.0017176775669647613,0.000057906321190096584,0.000000003520731373267002
716,0.0015946366251020972,0.00005402458186424394,0.000000003330090067586799
717,0.0014806305630032884,0.00005041637302471036,0.000000003150332307162442
718,0.00137494047454115,0.00004705972545479548,0.000000002980802822034208
719,0.0012769104584972287,0.000043934443318646465,0.000000002820889009571469
720,0.001185942283847739,0.00004102275611628548,0.000000002670014466755285
721,0.0011015008825278547,0.00003830857093588868,0.000000002527641856030912
722,0.0010231389212177404,0.00003577903927023417,0.0000000023932649214709997
723,0.0009504464531192648,0.00003342248379840996,0.000000002266409725253399
724,0.0008830366789127178,0.000031227891378470165,0.000000002146632549089698
725,0.0008205452028767842,0.00002918473359333622,0.0000000020335159900036023
726,0.0007626232073744956,0.000027282759125040352,0.000000001926668395944713
727,0.0007089212923728573,0.000025511204606297515,0.0000000018257245337845638
728,0.0006591127466459874,0.0000238598668369427,0.000000001730339217675847
729,0.0006128978873708824,0.00002231958312862577,0.0000000016401895223786702
730,0.0005700018111490374,0.000020881905429320592,0.000000001554972810107916
731,0.0005301725359300526,0.000019539230199191452,0.0000000014744030516732635
732,0.0004931799939956645,0.000018284912870217087,0.0000000013982145682687254
733,0.00045881275092877035,0.00001711298856578824,0.0000000013261541656836212
734,0.00042687608453528646,0.00001601782195387541,0.0000000012579883347310102
735,0.000397190577088653,0.00001499420759136283,0.0000000011934935681539926
736,0.0003695951281120345,0.000014037512844909537,0.000000001132462980898912
737,0.00034395619079957874,0.000013144141514680055,0.0000000010746995107726054
738,0.0003201502758823257,0.000012310748074630232,0.000000001020019641964332
739,0.000298059281257052,0.000011534037023322356,0.0000000009682508260309461
740,0.00027757061301602215,0.00001081078515509059,0.0000000009192302903184975
741,0.00025857244560565816,0.000010137559238847156,0.0000000008728031646147442
742,0.0002409417528852118,0.000009509926192383847,0.0000000008288274949126387
743,0.00022456284725078118,0.00000892366291832301,0.0000000007871663384241566
744,0.00020933149174636123,0.000008375043409174962,0.0000000007476927268613179
745,0.0001951536605294941,0.00000786073983438265,0.0000000007102859777860642
746,0.0001819473217290046,0.000007378021245051707,0.0000000006748330281501512
747,0.00016964844522116397,0.000006925169249554752,0.0000000006412268619205808
748,0.00015819928171105895,0.000006500692747052372,0.0000000006093672388726946
749,0.00014754506332857037,0.000006103122913353666,0.0000000005791593490700949
750,0.00013763393330332255,0.00000573104169332316,0.0000000005505149022580489
751,0.00012841596285349875,0.000005382979713064128,0.0000000005233479036791035
752,0.00011984100009131994,0.000005057372662566546,0.0000000004975795242700472
753,0.00011186184958299195,0.00000475270004367431,0.0000000004731347776588795
754,0.00010443496601271184,0.000004467548705751905,0.0000000004499437925079799
755,0.0000975201573313577,0.000004200607802954472,0.00000000042793831194391103
756,0.00009108017103427041,0.00000395062593356976,0.0000000004070570954093239
757,0.00008508009094590927,0.0000037163541465720285,0.0000000003872395732250747
758,0.00007948764762700951,0.0000034966293481144433,0.00000000036842888227484637
759,0.00007427315079708471,0.000003290396907988838,0.00000000035057251066012655
760,0.00006940926784545657,0.000003096679198554658,0.000000000333621436901782
761,0.00006487127933498525,0.0000029146303066105223,0.0000000003175267832237287
762,0.00006063807054932171,0.0000027436230239706414,0.00000000030224404390025873
763,0.00005669018426528686,0.000002583064685154585,0.00000000028773014959268194
764,0.00005300923214545974,0.0000024324011746184404,0.00000000027394618987883474
765,0.00004957787484146747,0.0000022910887087451244,0.00000000026085394774011005
766,0.0000463792245609702,0.00000215856966951383,0.00000000024841824337371416
767,0.000043395469334960815,0.0000020341902152114115,0.00000000023660314762165526
768,0.00004060987102765316,0.000001917316336436777,0.0000000002253777666198441
769,0.00003800722507047835,0.0000018073839023361057,0.00000000021471075619606018
770,0.00003557369818663356,0.0000017038755899280582,0.00000000020457498536749843
771,0.00003329724331355891,0.0000016063598320587519,0.00000000019494223348322533
772,0.00003116881970786956,0.0000015145702076248423,0.00000000018578580159951128
773,0.000029180228806643545,0.0000014282713481865753,0.00000000017708230528821558
774,0.000027323520783059942,0.0000013472234465489615,0.00000000016880932780680807
775,0.000025591014848353117,0.0000012711791692273893,0.00000000016094294855048698
776,0.000023974939109669814,0.0000011998723141007055,0.00000000015346358907808578
777,0.000022466452245467832,0.0000011329338375958248,0.00000000014635048779169903
778,0.00002105713641793149,0.0000010700064774946978,0.00000000013958643557669484
779,0.00001973934928760758,0.0000010107711345549267,0.00000000013315253361812222
780,0.000018506142144771514,0.0000009549384284813534,0.00000000012703227662241502
