wavelength_nm,V_P,K_P_lm_per_W,V_P_q,log10_V_P_q
408,0.006831685099374559,4.6660546516926384,0.00925297836642182,-2.0337184532172348
408.1,0.00690886679527544,4.718769905095757,0.009355221936418695,-2.028945905158234
408.2,0.0069866697805836915,4.771909500412639,0.009458256486758259,-2.0241889130660518
408.3,0.007065092770838775,4.825472560354158,0.009562079697842462,-2.019447640875645
408.4,0.007144134481579967,4.879458207631057,0.009666689252344901,-2.014722242114779
408.5,0.007223793628346729,4.933865564954208,0.00977208283520852,-2.0100128602903435
408.6,0.007304068926678385,4.988693755034387,0.009878258133642416,-2.005319629262572
408.7,0.007384959092114257,5.043941900582372,0.009985212837119244,-2.00064267360737
408.8,0.007466462840193807,5.099609124309031,0.010092944637372623,-1.9959821089670613
408.9,0.007548578886456312,5.155694548925111,0.010201451228393967,-1.9913380423898612
409,0.007631305946441232,5.212197297141482,0.010310730306430189,-1.9867105726582877
409.1,0.007714642465943283,5.26911630743281,0.010420779205615105,-1.982099805792097
409.2,0.007798585811778718,5.326449781329307,0.01053159380558288,-1.9775058996035542
409.3,0.007883133081019329,5.384195736125171,0.010643169625807235,-1.9729290162136048
409.4,0.007968281370736716,5.442352189114472,0.010755502190139286,-1.968369306958098
409.5,0.00805402777800267,5.5009171575914095,0.010868587026802712,-1.9638269127995893
409.6,0.008140369399888835,5.559888658850084,0.010982419668387963,-1.9593019647258265
409.7,0.008227303333466858,5.619264710184594,0.011096995651847137,-1.9547945841351846
409.8,0.008314826675808532,5.679043328889142,0.011212310518488835,-1.9503048832093945
409.9,0.008402936523985452,5.739222532257794,0.011328359813972412,-1.945832965273918
410,0.008491629975069411,5.79980033758475,0.011445139088303172,-1.9413789251462297
410.1,0.008580904559914858,5.860775058438637,0.011562644480342667,-1.9369428275179024
410.2,0.008670759544507425,5.922146193486168,0.011680874470211709,-1.9325246432363372
410.3,0.008761194628615715,5.983913537668694,0.011799828123744168,-1.9281243185797317
410.4,0.008852209512008106,6.046076885927414,0.011919504507684113,-1.9237417977880018
410.5,0.008943803894453197,6.108636033203679,0.012039902689685293,-1.9193770231698466
410.6,0.009035977475719428,6.1715907744387275,0.012161021738309514,-1.9150299352056779
410.7,0.009128729955575234,6.234940904573799,0.012282860723025755,-1.910700472646496
410.8,0.009222061033789211,6.298686218550242,0.012405418714209275,-1.9063885726088878
410.9,0.009315970410129744,6.362826511309259,0.012528694783140015,-1.9020941706663113
411,0.00941045778436543,6.427361577792199,0.01265268800200206,-1.8978172009367416
411.1,0.009505522866781994,6.492291220123629,0.012777397458019469,-1.893557595686363
411.2,0.009601165409734292,6.557615269161419,0.012902822295840114,-1.8893152840071494
411.3,0.009697385176094626,6.623333562946875,0.01302896167507448,-1.8850901934012732
411.4,0.009794181928735088,6.689445939521158,0.013155814756149863,-1.8808822503420373
411.5,0.009891555430527981,6.755952236925575,0.013283380700309962,-1.8766913803416168
411.6,0.00998950544434545,6.822852293201325,0.013411658669613373,-1.8725175080160887
411.7,0.010088031733059635,6.890145946389602,0.013540647826932822,-1.8683605571477895
411.8,0.010187134059542842,6.957833034531716,0.01367034733595439,-1.864220450745126
411.9,0.010286812186667159,7.025913395668825,0.013800756361176026,-1.8600971110999582
412,0.010387065877304893,7.09438686784224,0.01393187406790713,-1.8559904598425847
412.1,0.010487894911727169,7.163253300976696,0.01406369964559816,-1.8519004172740172
412.2,0.010589299139801044,7.232512592531092,0.014196232377787886,-1.8478269003102852
412.3,0.01069127842879274,7.30216465184799,0.014329471572030164,-1.8437698247863852
412.4,0.010793832645968235,7.372209388269789,0.014463416536550172,-1.8397291062317955
412.5,0.01089696165859375,7.442646711139049,0.014598066580244207,-1.8357046599096287
412.6,0.011000665333935329,7.51347652979821,0.014733421012678332,-1.8316964008541177
412.7,0.011104943539259012,7.584698753589713,0.014869479144087802,-1.8277042439064453
412.8,0.011209796141831015,7.656313291856116,0.015006240285376475,-1.823728103749002
412.9,0.011315223008917324,7.728320053939821,0.01514370374811547,-1.8197678949381564
413,0.01142122400778416,7.800718949183389,0.015281868844542978,-1.815823531935537
413.1,0.011527799043689285,7.873509912877682,0.015420734938384424,-1.8118949277066658
413.2,0.011634948173857369,7.946692984107265,0.015560301597218093,-1.8079819895610991
413.3,0.011742671493504985,8.020268227905248,0.015700568439837935,-1.8040846236534491
413.4,0.011850969097848461,8.094235709304575,0.015841535085406443,-1.8002027364574618
413.5,0.011959841082104372,8.168595493338358,0.015983201153454817,-1.7963362347810232
413.6,0.012069287541489114,8.243347645039584,0.01612556626388199,-1.7924850257803688
413.7,0.012179308571219072,8.31849222944124,0.016268630036954407,-1.788649016973478
413.8,0.012289904266510825,8.394029311576439,0.01641239209330582,-1.7848281162527093
413.9,0.012401074722580696,8.46995895647812,0.016556852053936276,-1.781022231896729
414,0.012512820034645268,8.546281229179401,0.016702009540212347,-1.777231272581704
414.1,0.012625140390259403,8.62299625778063,0.01684786429708897,-1.7734551442154969
414.2,0.012738036346331848,8.700104422651599,0.01699441656253985,-1.7696937406436695
414.3,0.012851508552110027,8.777606167229605,0.017141666697472604,-1.7659469535724137
414.4,0.012965557656841096,8.855501934951759,0.017289615062446122,-1.7622146757900754
414.5,0.013080184309772475,8.933792169255355,0.017438262017671697,-1.7584968011549946
414.6,0.01319538916015139,9.012477313577552,0.017587607923012834,-1.7547932245834872
414.7,0.013311172857225061,9.091557811355507,0.01773765313798594,-1.7511038420379132
414.8,0.013427536050240912,9.171034106026514,0.017888398021760978,-1.7474285505148592
414.9,0.013544479388446098,9.250906641027685,0.018039842933161312,-1.7437672480334498
415,0.013662003521088043,9.331175859796316,0.018191988230664778,-1.7401198336237436
415.1,0.013780108448686705,9.411841762687537,0.018344833408782346,-1.7364862277605853
415.2,0.013898791576852974,9.492902577728376,0.01849837450885921,-1.7328664322914844
