wavelength_nm,x_bar,y_bar,z_bar
634,0.5636168533449766,0.23042949556469158,0.0000011880163080512954
635,0.5424855418686235,0.2206899702844209,0.0000011080303354797432
636,0.5216887377998012,0.21121823066576095,0.000001033700397898647
637,0.5012611268381184,0.20201701744569367,0.0000009645961868545827
638,0.48123506506629216,0.19308857894570217,0.000000900323789451092
639,0.4616394368351233,0.18443460044569177,0.000000840522361372307
640,0.44249969386882226,0.17605623134412066,0.0000007848610989600293
641,0.4238291809004708,0.16795172920093546,0.0000007330364714721911
642,0.40560571144686086,0.16011013936573193,0.0000006847696909902286
643,0.3878039584419982,0.15251953051497127,0.0000006398044271291096
644,0.3704044348284809,0.14516934564011957,0.0000005979047074790677
645,0.3533927222493043,0.138050422144785,0.0000005588530309421178
646,0.336768175845314,0.13115719065230746,0.000000522448657340971
647,0.3205671749519252,0.12449404512285507,0.0000004885060554487778
648,0.3048287615578677,0.11806647822520959,0.00000045685351301781125
649,0.28958472394547347,0.11187844558538045,0.0000004273318874688305
650,0.2748601512880019,0.1059323764804082,0.00000039979347946868623
651,0.2606719467887471,0.1002289983662168,0.00000037410104472514726
652,0.24702473551778092,0.0947668051766439,0.0000003501268983867082
653,0.2339182960799528,0.0895429810524987,0.0000003277521238208449
654,0.22134970141087992,0.08455379677067884,0.0000003068658833896064
655,0.20931365287339138,0.07979472748821306,0.00000028736480186778774
656,0.19780193873849344,0.07526021889924633,0.00000026915242070826236
657,0.18680184428298832,0.0709430559002198,0.00000025213874032679745
658,0.17629915087464926,0.06683557859452235,0.00000023623979199048267
659,0.1662790190628522,0.06293006879158344,0.0000002213772879736748
660,0.1567261986386703,0.059218806757954094,0.00000020747830523777477
661,0.14763415606766886,0.05569749851343253,0.0000001944900046768627
662,0.13892598414855006,0.05233582059388427,0.0000001822458488910459
663,0.1306529860368507,0.049151472482085776,0.00000017079968570476242
664,0.1228002265659715,0.04613746620071487,0.00000016009764415041967
665,0.11535274295696667,0.04328687570351463,0.00000015008965604258425
666,0.1082955658017438,0.04059280315985142,0.00000014072916961388773
667,0.1016138014822606,0.0380482552127844,0.00000013197289552003885
668,0.0952926318928422,0.03564638044836945,0.00000012378055659261532
669,0.08931733450578157,0.033380532876988465,0.00000011611466683400874
670,0.08367335590849938,0.03124427316363462,0.00000010894033090952745
671,0.07834629721854765,0.0292313774960468,0.00000010222505284088704
672,0.07332184260799425,0.027335851868337986,0.00000009593855842993633
673,0.06858598107009316,0.025551907708137606,0.00000009005264504829226
674,0.06412507179725473,0.023873955171539434,0.00000008454101928145668
675,0.05992587144193091,0.02229659980671689,0.00000007937917622617703
676,0.05597564255541244,0.02081468368036888,0.00000007454426107109544
677,0.05226244397156317,0.01942337592402664,0.00000007001495814094807
678,0.048774713988156415,0.018118027912680107,0.00000006577138224531313
679,0.045501172815717854,0.016894139191110814,0.00000006179497519023462
680,0.04243085113642733,0.015747360478989822,0.000000058068421721188
681,0.03955282811999795,0.014673392871471085,0.0000000545755555152984
682,0.036855585591835896,0.013667748548665318,0.00000005130128365740966
683,0.03432806500875393,0.01272613318549908,0.00000004823151226752638
684,0.03195993269447746,0.011844549007024963,0.000000045353079030431615
685,0.029741531225391696,0.011019269885753902,0.0000000426536913763034
686,0.027664470037998077,0.010247061533067606,0.00000004012186168805807
687,0.025723132826048413,0.009525748971531797,0.000000037746857011011936
688,0.02391214275767572,0.008853257815077868,0.000000035518652949975757
689,0.022225745736070158,0.008227382744715307,0.00000003342787396549187
690,0.020657947429855286,0.007645834117301229,0.00000003146576339190148
691,0.019202072395214938,0.007106078357397108,0.000000029624129208401977
692,0.017849541834960656,0.006604873548929253,0.000000027895319057977524
693,0.016592037428750442,0.006139083605855343,0.000000026272176086243993
694,0.015422039116793797,0.005705875281128495,0.00000002474800643145465
695,0.014332725967792932,0.005302683558372844,0.000000023316553255147393
696,0.013318097046412784,0.004927250470531392,0.000000021971963968568766
697,0.01237334711482615,0.004577765659058887,0.00000002070876328431253
698,0.011494107350431677,0.004252584073043525,0.00000001952183138091655
699,0.010676221674044474,0.003950145326615957,0.00000001840637856950574
700,0.00991574621747327,0.0036689720779877217,0.000000017357925387186785
701,0.00920886698080421,0.003407638927089701,0.00000001637227741543388
702,0.008551696570392045,0.003164699226755874,0.00000001544551316974353
703,0.007940575747291248,0.002938793700287616,0.000000014573962845425083
704,0.007372140012256425,0.0027286729498657955,0.000000013754190381442803
705,0.006843293090572131,0.002533188216771339,0.000000012982981747859413
706,0.00635125552840521,0.0023513094331264277,0.000000012257325889497137
707,0.005893714424947872,0.0021821815338961686,0.000000011574410421568215
708,0.005468530559755067,0.0020250146055934377,0.000000010931594532644266
709,0.005073657539681852,0.0018790522986054383,0.000000010326413264665665
710,0.004707143361520392,0.0017435733611641867,0.000000009756555624418171
711,0.004367127440881038,0.0016178897035082301,0.00000000921985454205654
712,0.004051834260607449,0.001501342157029186,0.000000008714286681708805
713,0.003759582850037111,0.001393307371987308,0.000000008237951983672165
714,0.0034887875239555414,0.0012931971013729867,0.00000000778907429037122
715,0.003237954942448116,0.0012004586875156138,0.000000007365989188693872
716,0.003005650818063218,0.0011145612032631453,0.000000006967134051030871
717,0.0027904204177519013,0.0010349670991717176,0.000000006591049204023367
718,0.002590905462239023,0.0009611747426326902,0.000000006236363707679847
719,0.0024058669187507083,0.0008927264104564594,0.000000005901795889564737
720,0.0022341738121249986,0.0008292048540904678,0.0000000055861398131961805
721,0.002074814849318445,0.0007702368091712985,0.00000000528827127391347
722,0.0019269437336498093,0.0007155104289952446,0.000000005007131095286422
723,0.0017897847663354517,0.0006647399642519928,0.000000004741727716044394
724,0.0016626060415401108,0.0006176558020517364,0.000000004491132799495732
725,0.0015447182542971376,0.0005740038915543772,0.0000000042544730652095385
726,0.0014354618032905882,0.0005335409816541802,0.00000000403092910822045
727,0.0013341766598075416,0.0004960232404284888,0.000000003819736796593819
728,0.0012402458440135067,0.0004612226205649439,0.0000000036201739408326926
729,0.0011531031505965124,0.0004289300101351912,0.0000000034315649245455838
730,0.0010722292497388256,0.00039895357256469755,0.000000003253276576264146
731,0.0009971479223785103,0.0003711175159962707,0.0000000030847104726211348
732,0.0009274239598425853,0.0003452614418799144,0.0000000029253107668321493
